"id","theme","question","reponse_1","reponse_2","reponse_3","reponse_4","bonne_reponse","explication","difficulte"
"1","Géographie","Quelle est la capitale de la France ?","Paris","Séoul","Tokyo","Amman","1","","1"
"2","Géographie","Quelle est la capitale d'Italie ?","Rome","Paris","Riga","Kiev","1","","1"
"3","Géographie","Quelle est la capitale d'Espagne ?","Skopje","Bagdad","Madrid","Zagreb","3","","1"
"4","Géographie","Quelle est la capitale d'Allemagne ?","Berlin","Zagreb","Tirana","Dublin","1","","1"
"5","Géographie","Quelle est la capitale du Royaume-Uni ?","Londres","Vilnius","Mascate","Tripoli","1","","1"
"6","Géographie","Quelle est la capitale du Portugal ?","Budapest","Lisbonne","Khartoum","Chisinau","2","","1"
"7","Géographie","Quelle est la capitale de la Belgique ?","Bruxelles","Ljubljana","Pyongyang","Reykjavik","1","","1"
"8","Géographie","Quelle est la capitale de la Grèce ?","Mascate","Jakarta","Athènes","Téhéran","3","","1"
"9","Géographie","Quelle est la capitale des Pays-Bas ?","Naypyidaw","Amsterdam","Guatemala","Stockholm","2","","2"
"10","Géographie","Quelle est la capitale de la Suisse ?","Séoul","Sofia","Berne","Pékin","3","","3"
"11","Géographie","Quelle est la capitale d'Autriche ?","Vienne","Astana","Dublin","Tirana","1","","2"
"12","Géographie","Quelle est la capitale de la Suède ?","Stockholm","Naypyidaw","Guatemala","Pyongyang","1","","2"
"13","Géographie","Quelle est la capitale de la Norvège ?","Riga","Oslo","Pékin","Kiev","2","","2"
"14","Géographie","Quelle est la capitale du Danemark ?","Copenhague","Islamabad","Wellington","Washington","1","","2"
"15","Géographie","Quelle est la capitale de la Finlande ?","Bucarest","Helsinki","Varsovie","Belgrade","2","","2"
"16","Géographie","Quelle est la capitale d'Irlande ?","Bagdad","Madrid","Ankara","Dublin","4","","2"
"17","Géographie","Quelle est la capitale de la Pologne ?","Pretoria","Helsinki","Varsovie","Gaborone","3","","2"
"18","Géographie","Quelle est la capitale de la Hongrie ?","Windhoek","Budapest","Khartoum","Helsinki","2","","2"
"19","Géographie","Quelle est la capitale de la Tchéquie ?","Berlin","Vienne","Prague","Astana","3","","2"
"20","Géographie","Quelle est la capitale de la Roumanie ?","Helsinki","Belgrade","Varsovie","Bucarest","4","","3"
"21","Géographie","Quelle est la capitale de la Bulgarie ?","Pékin","Paris","Riyad","Sofia","4","","3"
"22","Géographie","Quelle est la capitale de la Croatie ?","Zagreb","Ankara","Koweït","Berlin","1","","3"
"23","Géographie","Quelle est la capitale de la Serbie ?","Bucarest","Belgrade","Pretoria","Windhoek","2","","3"
"24","Géographie","Quelle est la capitale de la Slovaquie ?","Ljubljana","Wellington","Bruxelles","Bratislava","4","","4"
"25","Géographie","Quelle est la capitale de la Slovénie ?","Ljubljana","Bruxelles","Stockholm","Vientiane","1","","4"
"26","Géographie","Quelle est la capitale d'Estonie ?","Tallinn","Mascate","Nairobi","Téhéran","1","","4"
"27","Géographie","Quelle est la capitale de la Lettonie ?","Suva","Oslo","Berne","Riga","4","","4"
"28","Géographie","Quelle est la capitale de la Lituanie ?","Nairobi","Mascate","Vilnius","Yaoundé","3","","4"
"29","Géographie","Quelle est la capitale d'Islande ?","Vientiane","Reykjavik","Lisbonne","Pyongyang","2","","3"
"30","Géographie","Quelle est la capitale d'Albanie ?","Vienne","Zagreb","Tirana","Prague","3","","4"
"31","Géographie","Quelle est la capitale de la Macédoine du Nord ?","Koweït","Skopje","Zagreb","Tirana","2","","5"
"32","Géographie","Quelle est la capitale de la Moldavie ?","Chisinau","Windhoek","Khartoum","Helsinki","1","","5"
"33","Géographie","Quelle est la capitale d'Ukraine ?","Paris","Doha","Kiev","Minsk","3","","2"
"34","Géographie","Quelle est la capitale de la Biélorussie ?","Sanaa","Dacca","Minsk","Amman","3","","4"
"35","Géographie","Quelle est la capitale de la Russie ?","Bagdad","Madrid","Moscou","Ankara","3","","1"
"36","Géographie","Quelle est la capitale de la Turquie ?","Berlin","Ankara","Dublin","Tirana","2","","3"
"37","Géographie","Quelle est la capitale de la Chine ?","Sanaa","Pékin","Riyad","Minsk","2","","1"
"38","Géographie","Quelle est la capitale du Japon ?","Damas","Tokyo","Amman","Sofia","2","","1"
"39","Géographie","Quelle est la capitale de la Corée du Sud ?","Damas","Séoul","Paris","Minsk","2","","2"
"40","Géographie","Quelle est la capitale de la Corée du Nord ?","Bruxelles","Pyongyang","Amsterdam","Ljubljana","2","","3"
"41","Géographie","Quelle est la capitale d'Inde ?","Phnom Penh","New Delhi","La Havane","Abou Dabi","2","","2"
"42","Géographie","Quelle est la capitale du Pakistan ?","Islamabad","Bruxelles","Guatemala","Jérusalem","1","","3"
"43","Géographie","Quelle est la capitale du Bangladesh ?","Amman","Hanoï","Pékin","Dacca","4","","4"
"44","Géographie","Quelle est la capitale de la Thaïlande ?","Tripoli","Londres","Bangkok","Yaoundé","3","","2"
"45","Géographie","Quelle est la capitale du Viêt Nam ?","Sanaa","Hanoï","Riyad","Amman","2","","3"
"46","Géographie","Quelle est la capitale du Cambodge ?","Phnom Penh","Port Moresby","Washington","Buenos Aires","1","","4"
"47","Géographie","Quelle est la capitale du Laos ?","Pyongyang","Ljubljana","Bruxelles","Vientiane","4","","5"
"48","Géographie","Quelle est la capitale de la Birmanie ?","Stockholm","Jérusalem","Bruxelles","Naypyidaw","4","","5"
"49","Géographie","Quelle est la capitale de la Malaisie ?","Kuala Lumpur","Abou Dabi","San José","Oulan-Bator","1","","3"
"50","Géographie","Quelle est la capitale d'Indonésie ?","Tripoli","Jakarta","Téhéran","Manille","2","","3"
"51","Géographie","Quelle est la capitale des Philippines ?","Mascate","Londres","Manille","Bangkok","3","","3"
"52","Géographie","Quelle est la capitale du Népal ?","Bruxelles","Pyongyang","Lisbonne","Katmandou","4","","3"
"53","Géographie","Quelle est la capitale du Sri Lanka ?","Bangkok","Colombo","Tripoli","Téhéran","2","","4"
"54","Géographie","Quelle est la capitale de la Mongolie ?","Oulan-Bator","Libreville","Wellington","Antananarivo","1","","4"
"55","Géographie","Quelle est la capitale du Kazakhstan ?","Tirana","Astana","Moscou","Berlin","2","","5"
"56","Géographie","Quelle est la capitale d'Ouzbékistan ?","Chisinau","Budapest","Gaborone","Tachkent","4","","5"
"57","Géographie","Quelle est la capitale d'Iran ?","Téhéran","Mascate","Bangkok","Athènes","1","","2"
"58","Géographie","Quelle est la capitale d'Irak ?","Astana","Bagdad","Tirana","Koweït","2","","2"
"59","Géographie","Quelle est la capitale de la Syrie ?","Sanaa","Amman","Damas","Berne","3","","3"
"60","Géographie","Quelle est la capitale du Liban ?","Budapest","Tachkent","Beyrouth","Windhoek","3","","3"
"61","Géographie","Quelle est la capitale d'Israël ?","Guatemala","Naypyidaw","Amsterdam","Jérusalem","4","","2"
"62","Géographie","Quelle est la capitale de la Jordanie ?","Riyad","Minsk","Paris","Amman","4","","3"
"63","Géographie","Quelle est la capitale d'Arabie saoudite ?","Amman","Séoul","Riyad","Berne","3","","3"
"64","Géographie","Quelle est la capitale du Qatar ?","Sofia","Rome","Minsk","Doha","4","","3"
"65","Géographie","Quelle est la capitale des Émirats arabes unis ?","New Delhi","Abou Dabi","Ljubljana","Stockholm","2","","4"
"66","Géographie","Quelle est la capitale d'Oman ?","Manille","Mascate","Colombo","Téhéran","2","","5"
"67","Géographie","Quelle est la capitale du Yémen ?","Sanaa","Sofia","Berne","Dacca","1","","5"
"68","Géographie","Quelle est la capitale d'Égypte ?","Le Caire","Kuala Lumpur","Port Moresby","Budapest","1","","1"
"69","Géographie","Quelle est la capitale du Maroc ?","Rabat","Hanoï","Berne","Damas","1","","2"
"70","Géographie","Quelle est la capitale de la Libye ?","Londres","Mascate","Nairobi","Tripoli","4","","3"
"71","Géographie","Quelle est la capitale du Sénégal ?","Dakar","Sofia","Berne","Tokyo","1","","2"
"72","Géographie","Quelle est la capitale du Mali ?","Vienne","Bagdad","Dublin","Bamako","4","","3"
"73","Géographie","Quelle est la capitale de la Côte d'Ivoire ?","Yamoussoukro","Montevideo","Wellington","Libreville","1","","5"
"74","Géographie","Quelle est la capitale du Ghana ?","Berne","Riyad","Accra","Minsk","3","","4"
"75","Géographie","Quelle est la capitale du Nigeria ?","Berne","Pékin","Abuja","Sofia","3","","4"
"76","Géographie","Quelle est la capitale du Cameroun ?","Nairobi","Londres","Yaoundé","Athènes","3","","4"
"77","Géographie","Quelle est la capitale du Gabon ?","Montevideo","Washington","Bratislava","Libreville","4","","4"
"78","Géographie","Quelle est la capitale du Kenya ?","Londres","Manille","Bangkok","Nairobi","4","","3"
